COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 01/05/2026 

DATOS DISPONIBLES EN LA BASE DE DATOS A: MAY DE 2026; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 1098 
 NOMBRE    : LA POSTA U.A.A. 
 ESTADO    : AGUASCALIENTES 
 MUNICIPIO : JESÚS MARÍA 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 21.9725 ° 
 LONGITUD  : -102.3625 ° 
 ALTITUD   : 1940.9 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1986-10-12	5.2	NULO	NULO	NULO
1986-10-13	0	6.12	27	10
1986-10-14	0	5.92	25.5	12
1986-10-15	0	4.78	24	12.5
1986-10-16	0	4.38	27	12
1986-10-17	0	5.48	26.5	10
1986-10-18	0	2.62	26	11
1986-10-19	0	5.66	24	10
1986-10-20	0	3.9	24	12
1986-10-21	0	0.77	24	12
1986-10-22	0	1.04	24	9
1986-10-23	0	4.19	24	7
1986-10-24	0	4.71	23	6
1986-10-25	0	3.79	23	5
1986-10-26	0	7.7	23	4
1986-10-27	0	4.13	21	8
1986-10-28	0	4.8	21	6
1986-10-29	0	5	24	3
1986-10-30	0	6.45	21	5
1986-10-31	0	3.55	21	2
1986-11-01	0	4.92	24	4
1986-11-02	0	5.97	25	6
1986-11-03	3	3.02	24	6
1986-11-04	8	2.1	23	10
1986-11-05	10.1	1.35	21.5	10
1986-11-06	0	3.74	22	11
1986-11-07	0	3.16	23	11.5
1986-11-08	0	3.44	26	10
1986-11-09	0	4.1	26	10.5
1986-11-10	0	3.01	24	9
1986-11-11	0	2.69	24.5	8.5
1986-11-12	0	4.32	24.5	11
1986-11-13	0	5.68	23	13.5
1986-11-14	0	3.66	24	11
1986-11-15	0	3.67	24.5	10
1986-11-16	0	2.13	25.5	9
1986-11-17	0	3.34	23	9.5
1986-11-18	0	3.48	27.5	8.5
1986-11-19	0	2.5	26.5	7.5
1986-11-20	0	3.16	23.5	6
1986-11-21	0	6.12	22.5	8
1986-11-22	0	5.81	24	5
1986-11-23	0	5.66	22.5	5
1986-11-24	0	5.12	22.5	6
1986-11-25	0	4.55	22	5
1986-11-26	0	4.5	19.5	4
1986-11-27	0	5.81	20.5	4.5
1986-11-28	0	2.53	11	0.5
1986-11-29	0	1.86	18	-1
1986-11-30	0	4.46	21.5	0
1986-12-01	0	5.37	21.5	0
1986-12-02	0	8	20.5	4.5
1986-12-03	0	4.5	21.5	5
1986-12-04	0	1.7	21.5	5.5
1986-12-05	0.01	2.97	23	8.5
1986-12-06	0.01	2.73	21	5
1986-12-07	0	2.2	22.5	5
1986-12-08	0	3.4	21.5	5
1986-12-09	0	5	21.5	5
1986-12-10	0	4.86	21	6
1986-12-11	0	3.18	21	8
1986-12-12	0	4.35	22	7
1986-12-13	0	3.22	22	8
1986-12-14	0	2.5	19	9
1986-12-15	0	3.85	23	9.5
1986-12-16	0	2.96	24	8
1986-12-17	0	3.37	23	5.5
1986-12-18	0	4.25	23.5	5
1986-12-19	0	2.32	20	5
1986-12-20	0	3.08	21	5
1986-12-21	0	5.17	16	3.5
1986-12-22	0	4.89	17.5	4
1986-12-23	0	3.74	20	-2
1986-12-24	0	5.1	20	-2
1986-12-25	0	3.55	22	0
1986-12-26	0	5.35	18	-2
1986-12-27	0	3.57	21	-2
1986-12-28	0.01	5.48	21	-2
1986-12-29	0	2.45	20	0
1986-12-30	1	2.25	12	-1
1986-12-31	0	2.82	16	-3
1987-01-01	0	3.89	18	0
1987-01-02	0	2.64	20	0
1987-01-03	0	4.73	19	0
1987-01-04	0	1.77	12	0
1987-01-05	0	2.81	23.5	2
1987-01-06	0	2.6	23.5	3.5
1987-01-07	0	3.71	24.5	6
1987-01-08	0	3.54	24.5	3.5
1987-01-09	0	6.63	24	4
1987-01-10	0	6.4	22	2
1987-01-11	9	2.31	22	3
1987-01-12	13	1.15	5.5	3
1987-01-13	3.2	1.41	10.5	2.5
1987-01-14	1	0.86	11.5	5
1987-01-15	5.5	1.08	14	4.5
1987-01-16	0	3.81	13	9.5
1987-01-17	0	4.73	19	7
1987-01-18	0	5.9	20.5	5
1987-01-19	0	4.92	20.5	4.5
1987-01-20	0	3.35	16.5	5
1987-01-21	0	4.73	18.5	3
1987-01-22	0	4.56	14	0
1987-01-23	0	4.06	19	1.5
1987-01-24	0	4.88	21	2
1987-01-25	0	6.37	21	0
1987-01-26	0	3.83	20.5	-2
1987-01-27	0	4.3	21.5	1
1987-01-28	0	4.45	23.5	1.5
1987-01-29	0	4.41	24.5	0
1987-01-30	0	4.63	23	0.5
1987-01-31	0	3.98	19	0
1987-02-01	0	4.93	24.5	6
1987-02-02	1	2.3	19	3
1987-02-03	1	4.75	17.5	7
1987-02-04	0	3.18	20	2
1987-02-05	0	3.92	22	2
1987-02-06	0	2.71	11	3
1987-02-07	0	2.48	14	3
1987-02-08	0	4.22	19	-1
1987-02-09	0	4.98	21	-1
1987-02-10	0	3.41	21.5	1.5
1987-02-11	0	2.65	25	1.5
1987-02-12	0	4.66	23	4.5
1987-02-13	0	2.02	23.5	7
1987-02-14	0	4.68	24	8
1987-02-15	0	4.1	25.5	4
1987-02-16	0	5.66	25.5	5
1987-02-17	0	3.78	24	2
1987-02-18	0	5.27	25.5	0
1987-02-19	0	4.85	24.5	1
1987-02-20	0	4.79	23.5	4.5
1987-02-21	0	3.66	24	5
1987-02-22	11	5.35	24.5	4
1987-02-23	0	4.09	21	4
1987-02-24	0	4.59	23	8
1987-02-25	6	2.41	20	10
1987-02-26	11.5	2.15	10	7
1987-02-27	0	1.75	18	6
1987-02-28	0	2.18	21	2
1987-03-01	0	3.15	22.5	2
1987-03-02	0	4.95	22	3
1987-03-03	0	6.48	23	1.5
1987-03-04	0	1.52	25	3.5
1987-03-05	0	2.58	17	4
1987-03-06	0	4.47	19	4
1987-03-07	0	2.35	23	4
1987-03-08	0	3.51	21.5	6
1987-03-09	0	4.18	23	4
1987-03-10	0	4.75	25	5
1987-03-11	0	2.18	24	5
1987-03-12	0	4.99	22	7
1987-03-13	0	5.1	24	6
1987-03-14	0	4.18	20	7
1987-03-15	0	3.88	25	10
1987-03-16	0	6.17	25	6
1987-03-17	0	2.9	26	3.5
1987-03-18	0	3.27	21.5	5.5
1987-03-19	0	5.28	21	10.5
1987-03-20	0	6.19	22	11
1987-03-21	0	3.25	25	8
1987-03-22	0	5.22	23	9
1987-03-23	0	4.11	25	8
1987-03-24	0	5.17	25.5	8
1987-03-25	0	4.18	20.5	9.5
1987-03-26	0	5.2	26	11.5
1987-03-27	0	4.77	21	10
1987-03-28	0	6.11	26	7
1987-03-29	0	4.09	25.5	5
1987-03-30	0	3.98	24	5
1987-03-31	0	2.5	24.5	4
1987-04-01	0	8.17	28	2.5
1987-04-02	0	6.53	28.5	7
1987-04-03	0	7.8	25	7
1987-04-04	0	5.76	27	6
1987-04-05	0	6.45	21.5	5
1987-04-06	0	7.3	25	5.5
1987-04-07	0	7.52	24	8.5
1987-04-08	0	7.38	29	7.5
1987-04-09	0	7.25	25	6
1987-04-10	0	6.06	26	7
1987-04-11	0	8.4	21	8
1987-04-12	0	6.28	23	9
1987-04-13	0	8.16	26.5	9.5
1987-04-14	0	8.4	27.5	7
1987-04-15	0	10.35	29	8
1987-04-16	0	7.76	31	12
1987-04-17	0	8.11	30	10
1987-04-18	0	7.02	31	6
1987-04-19	0	7.66	31.5	9
1987-04-20	2.6	6.56	31	8
1987-04-21	2.6	5.38	31	8
1987-04-22	0	6.51	26	9
1987-04-23	0	7	22	8
1987-04-24	0	10.81	23	7
1987-04-25	0	8.7	27	7
1987-04-26	0	9.36	25	7
1987-04-27	1	5.85	28	8
1987-04-28	6	4.21	27	9
1987-04-29	0	5.02	25	10
1987-04-30	0	8.35	26	10
1987-05-01	0	6.91	26	7.5
1987-05-02	0	6.48	26	7
1987-05-03	0	7.35	27.5	7
1987-05-04	0	8.22	28.5	6.5
1987-05-05	0	6.41	28	10
1987-05-06	0	6.23	27.5	8
1987-05-07	0	5.43	27.5	12.5
1987-05-08	0	6.71	26	11
1987-05-09	0	7.36	26.5	10
1987-05-10	0	8.21	28.5	10.5
1987-05-11	0	7.39	27	15
1987-05-12	0	6.19	28.5	11.5
1987-05-13	7.3	2.39	25.5	12
1987-05-14	0	6.71	27	11
1987-05-15	0	6.48	27	13
1987-05-16	0	6.55	29	12
1987-05-17	18.3	3.47	28.5	11
1987-05-18	9.1	4.99	29	13
1987-05-19	0	3.78	29	10.5
1987-05-20	0	5.47	26.5	10
1987-05-21	0	5.28	28	9.5
1987-05-22	0	6.11	30	13.5
1987-05-23	0	7.32	29	12
1987-05-24	0	8.44	29	11
1987-05-25	0	8.94	29.5	11.5
1987-05-26	0	7.92	30	13
1987-05-27	0	9.67	31.5	12.5
1987-05-28	0	8.35	31.5	14
1987-05-29	0	6.49	30	14
1987-05-30	6.3	5.12	30	11
1987-05-31	1.5	6.19	30	10.5
1987-06-01	1.5	6.03	29	10.5
1987-06-02	0	6.87	28.5	13
1987-06-03	0	6.91	28.5	14
1987-06-04	8.6	4.85	27.5	12.5
1987-06-05	0	5.43	24	11.5
1987-06-06	0	6.28	28	13
1987-06-07	0	7.54	25	12
1987-06-08	0	6.13	27	14
1987-06-09	0	8.96	29	15
1987-06-10	3	8.63	27.5	13
1987-06-11	0	7.28	30	14.5
1987-06-12	0	7.9	29	14.5
1987-06-13	0	9.37	28	16
1987-06-14	0	8.65	30	18
1987-06-15	9.2	6.03	27.5	16
