COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 01/05/2026 

DATOS DISPONIBLES EN LA BASE DE DATOS A: MAY DE 2026; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 2004 
 NOMBRE    : IGNACIO ZARAGOZA -BELEN- 
 ESTADO    : BAJA CALIFORNIA 
 MUNICIPIO : ENSENADA 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 32.19527778 ° 
 LONGITUD  : -116.4855556 ° 
 ALTITUD   : 540 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1964-12-04	0	NULO	NULO	NULO
1964-12-05	0	NULO	19	2
1964-12-06	0	NULO	18	2
1964-12-07	0	NULO	18	2
1964-12-08	0	NULO	19	3
1964-12-09	0	NULO	21	1.5
1964-12-10	0.2	NULO	21.5	1.5
1964-12-11	0	NULO	18.5	2
1964-12-12	0	NULO	19	5
1964-12-13	0	NULO	18.5	8
1964-12-14	0	NULO	23	-1
1964-12-15	0	NULO	23	1.5
1964-12-16	0	NULO	16	-2
1964-12-17	0.1	NULO	14	-0.5
1964-12-18	0.5	NULO	14.5	2
1964-12-19	0	NULO	14	3
1964-12-20	0	NULO	22	2
1964-12-21	0	NULO	23	3
1964-12-22	0	NULO	21.5	3
1964-12-23	0	NULO	20	8.5
1964-12-24	0.3	NULO	22	10
1964-12-25	0.5	NULO	22.5	8
1964-12-26	31.5	NULO	12	4
1964-12-27	0	NULO	12	7
1964-12-28	2.5	NULO	12.5	7
1964-12-29	0	NULO	9	0
1964-12-30	0	NULO	11.5	-2.5
1964-12-31	0.2	NULO	10	-1
1965-01-01	0	NULO	11.5	-1
1965-01-02	0	NULO	14	-3.5
1965-01-03	0	NULO	15	-2
1965-01-04	0	NULO	16.5	0
1965-01-05	3	NULO	20	3
1965-01-06	2	NULO	12.5	8.5
1965-01-07	0	NULO	11	7
1965-01-08	0	NULO	13.5	-2.5
1965-01-09	0	NULO	15	-1
1965-01-10	0	NULO	22	-1
1965-01-11	0.1	NULO	21	0
1965-01-12	0	NULO	16	1.5
1965-01-13	0	NULO	21.5	5
1965-01-14	0	NULO	24	3.5
1965-01-15	0	NULO	23	8
1965-01-16	0	NULO	25	8.5
1965-01-17	0	NULO	23	4
1965-01-18	0	NULO	26.5	7
1965-01-19	1.3	NULO	25	6
1965-01-20	0.3	NULO	24	8
1965-01-21	0	NULO	14	8
1965-01-22	0.2	NULO	16	7.5
1965-01-23	1.3	NULO	19	4
1965-01-24	2.5	NULO	13.5	6
1965-01-25	0	NULO	16	-1
1965-01-26	0	NULO	18.5	-1.5
1965-01-27	0	NULO	19.5	1
1965-01-28	0	NULO	22.5	1.5
1965-01-29	0	NULO	25	1.5
1965-01-30	0	NULO	26	2.5
1965-01-31	0	NULO	25	3
1965-02-01	0	NULO	22	3
1965-02-02	0	NULO	11.5	2.5
1965-02-03	0	NULO	24.5	1.5
1965-02-04	29	NULO	20.5	2
1965-02-05	14	NULO	10.5	6
1965-02-06	0	NULO	14.5	2
1965-02-07	0	NULO	16	-0.5
1965-02-08	3.5	NULO	9	2
1965-02-09	0	NULO	13	-2
1965-02-10	0	NULO	12	-2.5
1965-02-11	0	NULO	11.5	-2
1965-02-12	0	NULO	18	-3.5
1965-02-13	0	NULO	18.5	-2
1965-02-14	0.5	NULO	18	-2.5
1965-02-15	0	NULO	18	2
