COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 01/05/2026 

DATOS DISPONIBLES EN LA BASE DE DATOS A: MAY DE 2026; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 2007 
 NOMBRE    : CERRO PRIETO (CFE) 
 ESTADO    : BAJA CALIFORNIA 
 MUNICIPIO : MEXICALI 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 32.43805556 ° 
 LONGITUD  : -115.3875 ° 
 ALTITUD   : 10 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1964-05-10	0	NULO	NULO	NULO
1964-05-11	0	NULO	37.5	15
1964-05-12	0	NULO	37.5	14
1964-05-13	0	NULO	31.5	14
1964-05-14	0	NULO	37	14
1964-05-15	0	NULO	38.5	16
1964-05-16	0	NULO	38.5	16.5
1964-05-17	0	NULO	37.5	20
1964-05-18	0	NULO	37.5	17.5
1964-05-19	0	NULO	38.5	17
1964-05-20	0	NULO	38.5	16
1964-05-21	0	NULO	39	16.5
1964-05-22	0	NULO	39	16
1964-05-23	0	NULO	38	18.5
1964-05-24	0	NULO	37	21
1964-05-25	0	NULO	33.5	24.5
1964-05-26	0	NULO	37	19
1964-05-27	0	NULO	30.5	13
1964-05-28	0	NULO	33.5	20
1964-05-29	0	NULO	34	12.5
1964-05-30	0	NULO	37.5	16
1964-05-31	0	NULO	40	18
1964-06-01	0	NULO	40.5	19
1964-06-02	0	NULO	37	18
1964-06-03	0	NULO	36.5	17
1964-06-04	0	NULO	37	18
1964-06-05	0	NULO	37.5	17
1964-06-06	0	NULO	40	18.5
1964-06-07	0	NULO	35.5	22.5
1964-06-08	0	NULO	32.5	14.5
1964-06-09	0	NULO	30	14.5
1964-06-10	0	NULO	30	13
1964-06-11	0	NULO	34.5	15
1964-06-12	0	NULO	35.5	15
1964-06-13	0	NULO	35	16.5
1964-06-14	0	NULO	41	19
1964-06-15	0	NULO	38.5	18
1964-06-16	0	NULO	39.5	17.5
1964-06-17	0	NULO	36	21.5
1964-06-18	0	NULO	37	15.5
1964-06-19	0	NULO	35.5	17.5
1964-06-20	0	NULO	38	19
1964-06-21	0	NULO	38	17
1964-06-22	0	NULO	40.5	20
1964-06-23	0	NULO	43.5	20.5
1964-06-24	0	NULO	46	24.5
1964-06-25	0	NULO	42.5	24
1964-06-26	0	NULO	41.5	27.5
1964-06-27	0	NULO	42.5	26
1964-06-28	0	NULO	42	23
1964-06-29	0	NULO	41.5	22.5
1964-06-30	0	NULO	42	22.5
1964-07-01	0	NULO	43	20
1964-07-02	0	NULO	44	24
1964-07-03	0	NULO	44	22.5
1964-07-04	0	NULO	42.5	23.5
1964-07-05	0	NULO	41	20
1964-07-06	0	NULO	42.5	22.5
1964-07-07	0	NULO	38.5	24.5
1964-07-08	0	NULO	36.5	26
1964-07-09	0	NULO	38.5	26
1964-07-10	0	NULO	41	25
1964-07-11	0	NULO	44	26
1964-07-12	0	NULO	47	29
1964-07-13	0	NULO	38.5	30
1964-07-14	0	NULO	40.5	25
1964-07-15	0	NULO	40	24.5
1964-07-16	0	NULO	41.5	23.5
1964-07-17	0	NULO	43.5	23
1964-07-18	0	NULO	44.5	24
1964-07-19	0	NULO	43	24.5
1964-07-20	0	NULO	40.5	28.5
1964-07-21	0	NULO	38.5	28
1964-07-22	0	NULO	40.5	25.5
1964-07-23	0	NULO	42.5	25
1964-07-24	0	NULO	33.5	28.5
1964-07-25	0	NULO	37	27.5
1964-07-26	0	NULO	39	26.5
1964-07-27	0	NULO	41.5	25.5
1964-07-28	0	NULO	45	29
1964-07-29	0	NULO	38	30
1964-07-30	0	NULO	34	28.5
1964-07-31	0	NULO	36.5	26.5
1964-08-01	0	NULO	35.5	26.5
1964-08-02	8.5	NULO	35	26
1964-08-03	0	NULO	38	24.5
1964-08-04	0	NULO	39.5	27.5
1964-08-05	0	NULO	35	26
