COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 01/05/2026 

DATOS DISPONIBLES EN LA BASE DE DATOS A: MAY DE 2026; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 2011 
 NOMBRE    : DELTA 
 ESTADO    : BAJA CALIFORNIA 
 MUNICIPIO : MEXICALI 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 32.35305556 ° 
 LONGITUD  : -115.1891667 ° 
 ALTITUD   : 12 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1948-07-05	NULO	NULO	NULO	NULO
1948-07-06	0	NULO	41	31
1948-07-07	0	NULO	43	22
1948-07-08	0	NULO	44	28
1948-07-09	0	NULO	41	22
1948-07-10	0	NULO	43	20
1948-07-11	0	NULO	45	19
1948-07-12	0	NULO	46	20
1948-07-13	0	NULO	45	25
1948-07-14	0	NULO	48	26
1948-07-15	0	NULO	42	23
1948-07-16	0	NULO	44	25
1948-07-17	0	NULO	45	23
1948-07-18	0	NULO	47	23
1948-07-19	0	NULO	46	24
1948-07-20	0	NULO	49	22
1948-07-21	0	NULO	42	24
1948-07-22	0	NULO	32	27
1948-07-23	0	NULO	50	25
1948-07-24	0	NULO	50	25
1948-07-25	0	NULO	50	25
1948-07-26	0	NULO	50	25
1948-07-27	0	NULO	52	25
1948-07-28	0	NULO	53	21
1948-07-29	0	NULO	51	19
1948-07-30	0	NULO	51	21
1948-07-31	0	NULO	40	22
1948-08-01	0	NULO	50	27
1948-08-02	0	NULO	50	26
1948-08-03	0	NULO	50	24
1948-08-04	0	NULO	49	24
1948-08-05	0	NULO	48	25
1948-08-06	0	NULO	51	26
1948-08-07	0	NULO	51	26
1948-08-08	0	NULO	51	22
1948-08-09	0	NULO	51	23
1948-08-10	0	NULO	50	22
1948-08-11	0	NULO	50	22
1948-08-12	0	NULO	52	22
1948-08-13	0	NULO	51	22
1948-08-14	0	NULO	51	23
1948-08-15	0	NULO	53	22
1948-08-16	0	NULO	51	23
1948-08-17	0	NULO	48	23
