COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 01/05/2026 

DATOS DISPONIBLES EN LA BASE DE DATOS A: MAY DE 2026; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 2038 
 NOMBRE    : PRESA RODRIGUEZ 
 ESTADO    : BAJA CALIFORNIA 
 MUNICIPIO : TIJUANA 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 32.44694444 ° 
 LONGITUD  : -116.9077778 ° 
 ALTITUD   : 120 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1929-01-01	0	11	NULO	NULO
1929-01-02	0	5	23.5	8
1929-01-03	0	1	19	4
1929-01-04	0	3	18.5	6.5
1929-01-05	0	4	20	2
1929-01-06	0	3	22.5	5
1929-01-07	0	3	15.5	6
1929-01-08	0	2	19	5
1929-01-09	0	2	15.5	5
1929-01-10	0	3	21.5	1
1929-01-11	0	9	24.5	7
1929-01-12	0	6	25	11
1929-01-13	0	5	26	4
1929-01-14	0	2	19.5	2.5
1929-01-15	5.5	1.5	14	6.5
1929-01-16	9	NULO	13.5	8.5
1929-01-17	0	NULO	15	7
1929-01-18	0.3	3.3	14	9
1929-01-19	10	2	14	9
1929-01-20	8	1	14.5	7
1929-01-21	1	NULO	14	5.5
1929-01-22	5	3	12.5	5
1929-01-23	0.3	2.3	11	3
1929-01-24	0	4	14.5	5
1929-01-25	0	NULO	14.5	2
1929-01-26	0	2	12	2.5
1929-01-27	0	2	15.5	2
1929-01-28	0	1	16	6
1929-01-29	0	2	16.5	5.5
1929-01-30	0	NULO	15.5	4.5
1929-01-31	1.5	0.5	14	7.5
1929-02-01	1.7	1.7	14	10.5
1929-02-02	1	3	14	11
1929-02-03	0	2	18.5	11.5
1929-02-04	0	1	18	6.5
1929-02-05	0.5	1.5	16	6
1929-02-06	14	2	11	6
1929-02-07	5.5	2.5	10.5	7
1929-02-08	0	2	9.5	6
1929-02-09	0	5	15.5	3.5
1929-02-10	0	6	15	0.5
1929-02-11	0	2	16	2
1929-02-12	0	3	16	2
1929-02-13	0	3	17	3
1929-02-14	0	1	15	6
1929-02-15	0	3	18	3.5
1929-02-16	0	2	19	3
1929-02-17	1	2	11	2.5
1929-02-18	4.5	1.5	14.5	3
1929-02-19	0.5	2.5	14.5	5
1929-02-20	0	2	17.5	5
1929-02-21	0	2	17	3.5
1929-02-22	0	6	24	4.5
1929-02-23	0	3	21	6.5
1929-02-24	0	3	15	5
1929-02-25	0	4	18	4.5
1929-02-26	0	6	15.5	7
1929-02-27	0	5	19.5	3.5
1929-02-28	0	5	21	3.5
1929-03-01	0	8	21	5
1929-03-02	0	4	22.5	7
1929-03-03	0	4	18	4.5
1929-03-04	0	5	28	5
1929-03-05	0	4	24	7
1929-03-06	0	4	18.5	8.5
1929-03-07	0	4	17	11
1929-03-08	0	3	19	7.5
1929-03-09	0	2	18	9
1929-03-10	16.2	0.2	16.5	9
1929-03-11	0.4	3.4	14	7.5
1929-03-12	8.7	3.7	14.5	7.5
1929-03-13	0.1	2.1	14	6.5
1929-03-14	0.5	1.5	16	6
1929-03-15	0	4	16	6
1929-03-16	0	2	16.5	5.5
1929-03-17	0	3	16	10
1929-03-18	0.4	2.4	17	9
1929-03-19	0.1	3.1	16	7
1929-03-20	0.1	3.1	22	7.5
1929-03-21	0	2	15.5	6
1929-03-22	3.4	1.4	14	13.5
1929-03-23	4.2	3.2	12	8.5
1929-03-24	0.1	4.1	12	4.5
1929-03-25	0	3	11.5	2.5
1929-03-26	0	6	16	2.5
1929-03-27	0	6	24	5
1929-03-28	0	5	25	8.5
1929-03-29	0	6	23	7
1929-03-30	0	2	15.5	10.5
1929-03-31	0	5	20	6
1929-04-01	0	4	27	6
1929-04-02	0	3.1	20.5	8.5
1929-04-03	6.1	0.5	19.5	11.5
1929-04-04	13.5	4.3	16	12.5
1929-04-05	1.3	5	14	9.5
1929-04-06	0	5	16	4
1929-04-07	0	4	17	5
1929-04-08	0	3	16	8
1929-04-09	0	4	15	9
1929-04-10	0	5	18	2.5
1929-04-11	0	4	19.5	5
1929-04-12	0	3	17	7.5
1929-04-13	0	4	17	8.5
1929-04-14	0	5	17	7.5
1929-04-15	0	3	22.5	8
1929-04-16	0	4	22.5	10
1929-04-17	0	5	16.5	10.5
1929-04-18	1	4.1	16.5	12.5
1929-04-19	0	5	15	10.5
1929-04-20	0	4	19.5	8.5
1929-04-21	0	5	18	8.5
1929-04-22	0	4	19	8.5
1929-04-23	0	3	17.5	9
1929-04-24	0	5	19.5	8.5
1929-04-25	0	3	19.5	8.5
1929-04-26	0	3	15.5	11.5
1929-04-27	0	4	17	11.5
1929-04-28	0	5	19	12.5
1929-04-29	0	5	22.5	11
1929-04-30	0	5	26	9
1929-05-01	0	13	31.5	9
1929-05-02	0	9	33	15.5
1929-05-03	0	6	29.5	14
1929-05-04	0	5	25.5	10
1929-05-05	0	4	23	12.5
1929-05-06	0	7	22	10
1929-05-07	0	7	22.5	9.5
1929-05-08	0	5	25	6.5
1929-05-09	0	17	25	7
1929-05-10	0	6	26	10.5
1929-05-11	0	6	32	9
1929-05-12	0	11	33	11
1929-05-13	0	7	33	12
1929-05-14	0	2	23.5	12
1929-05-15	0	6	21.5	13
1929-05-16	0	4	19	14
1929-05-17	0	5	23	13
1929-05-18	0	6	24	11
1929-05-19	0	7	21.5	14
1929-05-20	0	6	22	13.5
1929-05-21	0	5	22	12.5
1929-05-22	0	5	22	14
1929-05-23	0	2	22	14
1929-05-24	0	5	23.5	14.5
1929-05-25	0	6	19.5	16
1929-05-26	0	6	17	13
1929-05-27	0	9	21	10.5
