COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 01/05/2026 

DATOS DISPONIBLES EN LA BASE DE DATOS A: MAY DE 2026; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 2042 
 NOMBRE    : ROSARITO 
 ESTADO    : BAJA CALIFORNIA 
 MUNICIPIO : PLAYAS DE ROSARITO 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 32.28777778 ° 
 LONGITUD  : -117.0019444 ° 
 ALTITUD   : 150 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1957-06-06	0	NULO	NULO	NULO
1957-06-07	0	NULO	27	-4
1957-06-08	0	NULO	47	14
1957-06-09	0	NULO	31	11
1957-06-10	0	NULO	23	11
1957-06-11	0	NULO	37	-5
1957-06-12	0	NULO	30	9
1957-06-13	0	NULO	26	9
1957-06-14	0	NULO	26	5
1957-06-15	0	NULO	25	5
1957-06-16	0	NULO	33	5
1957-06-17	0	NULO	31	6
1957-06-18	0	NULO	39	10
1957-06-19	0	NULO	38	10
1957-06-20	0	NULO	35	10
1957-06-21	0	NULO	37	3
1957-06-22	0	NULO	41	2
1957-06-23	0	NULO	47	18
1957-06-24	0	NULO	46	12
1957-06-25	0	NULO	46	14
1957-06-26	0	NULO	42	13
1957-06-27	0	NULO	38	12
1957-06-28	0	NULO	39	3
1957-06-29	0	NULO	38	1
1957-06-30	0	NULO	43	2
1957-07-01	0	NULO	47	16
1957-07-02	0	NULO	48	17
1957-07-03	0	NULO	49	12
1957-07-04	0	NULO	48	29
1957-07-05	0	NULO	45	15
1957-07-06	0	NULO	44	14
1957-07-07	0	NULO	45	18
1957-07-08	0	NULO	42	14
1957-07-09	0	NULO	41	12
1957-07-10	0	NULO	47	18
1957-07-11	0	NULO	45	19
1957-07-12	0	NULO	44	15
1957-07-13	0	NULO	47	15
1957-07-14	0	NULO	44	10
1957-07-15	0	NULO	46	14
1957-07-16	0	NULO	45	12
1957-07-17	0	NULO	40	13
1957-07-18	0	NULO	45	19
1957-07-19	0	NULO	41	18
1957-07-20	0	NULO	41	11
1957-07-21	0	NULO	44	11
1957-07-22	0	NULO	44	15
