COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 01/05/2026 

DATOS DISPONIBLES EN LA BASE DE DATOS A: MAY DE 2026; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 2050 
 NOMBRE    : SAN JUAN DE DIOS SUR 
 ESTADO    : BAJA CALIFORNIA 
 MUNICIPIO : SAN QUINTÍN 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 30.18444444 ° 
 LONGITUD  : -115.1375 ° 
 ALTITUD   : 600 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1964-10-03	0	NULO	NULO	NULO
1964-10-04	0	NULO	35	19
1964-10-05	0	8.17	37	20
1964-10-06	0	2.79	38	20
1964-10-07	0	2.95	35.5	17.5
1964-10-08	0	2.39	37	17
1964-10-09	0.01	6.44	36.5	16
1964-10-10	0	9.07	36	16
1964-10-11	0	7.56	31	15
1964-10-12	0	11.87	34.5	16
1964-10-13	0	3.29	31	13
1964-10-14	0	5.38	31	11
1964-10-15	0.01	4.07	28	16
1964-10-16	20	3.4	18.5	15
1964-10-17	10	4.7	22	13
1964-10-18	2	6.8	25	11
1964-10-19	0	7.6	27	14
1964-10-20	0	6.76	28	20
1964-10-21	0	5.8	31	18
1964-10-22	0	6.61	31	16
1964-10-23	0	4.95	29	12
1964-10-24	0	4.86	23	12
1964-10-25	0	3.96	24	8
1964-10-26	0	2.25	24.5	9
1964-10-27	0	6.22	29	8
1964-10-28	0	6.5	30.5	12
1964-10-29	0	9.46	27	12
1964-10-30	0	4.6	27	9
1964-10-31	0	4.65	27	8
1964-11-01	0	4.24	23.5	8
1964-11-02	0	6.23	23	10
1964-11-03	0	8.56	25	9
1964-11-04	0	6.43	24	13
1964-11-05	0	5.57	28	10
1964-11-06	0	5.6	27.5	9
1964-11-07	0	3.38	26.5	8.5
1964-11-08	0	3.3	23	6
1964-11-09	0	2.12	16.5	9
1964-11-10	0	3.69	19	8
1964-11-11	0	4.27	21	7
1964-11-12	0	1.3	21	2.5
1964-11-13	0	1.81	22	9
1964-11-14	20	1.73	21.5	8
1964-11-15	2	5.19	21	9
1964-11-16	0	3.79	21.5	9
1964-11-17	0	3.78	25	7
1964-11-18	0	3.34	19	6
1964-11-19	0	3.96	21.5	8.5
1964-11-20	0	3.57	27	9
1964-11-21	0	3.92	22	8.5
1964-11-22	0	4.55	22	5
1964-11-23	0	10.17	23	7
1964-11-24	0	3.97	25	11
1964-11-25	0	2.45	21	6
1964-11-26	0	2.47	19	5
1964-11-27	0	2.79	19	8
1964-11-28	0	4.08	25.5	5.5
1964-11-29	0	6.62	25	10
1964-11-30	0	2.54	23	7
1964-12-01	0	5.38	24.5	6
1964-12-02	0	2.19	16	9
1964-12-03	0	3.63	12.5	9
1964-12-04	0	2.59	17.5	1
1964-12-05	0	5.41	21	3
1964-12-06	0	6.35	18	12
1964-12-07	0	4.7	18	6
1964-12-08	0	5.21	12	6
1964-12-09	0	2.29	20	1
1964-12-10	0	3.18	21	2
1964-12-11	0	2.37	20	2
1964-12-12	0	6.63	21	6
1964-12-13	0	6.29	16	10
1964-12-14	0	8.8	25	10
1964-12-15	0	1.66	22	0
1964-12-16	0	3.16	19	-2
1964-12-17	0	0.77	19	4
1964-12-18	0.01	1.22	14	7
1964-12-19	0	1.22	13	6
1964-12-20	0	3.82	25	2.5
1964-12-21	0	4.22	25	5
1964-12-22	0	2.46	26	6.5
1964-12-23	0	4.14	26	6
1964-12-24	0	4.15	26	8
1964-12-25	0	2.34	23	9
1964-12-26	0	1.91	25	6.5
1964-12-27	0	1.75	20	3
1964-12-28	0.01	3.01	15	9
1964-12-29	0	1.13	14	1
1964-12-30	0	2.34	13	6
1964-12-31	0	0.87	11.5	7
1965-01-01	0	0.53	14	-1
1965-01-02	0	4.32	16	1
1965-01-03	0	1.37	18	-1
1965-01-04	0	2.49	19	2
1965-01-05	0.01	1.13	22	6
1965-01-06	10	0.64	17	10
1965-01-07	20	2.12	16	10
1965-01-08	0	2.03	17	4
1965-01-09	0	7.18	19	1
1965-01-10	0	1.39	23	5
1965-01-11	0	3.68	22	0
1965-01-12	0	6.62	20	1
1965-01-13	0	1.8	19.5	5
1965-01-14	0	2.08	20	11
1965-01-15	0.01	1.67	20.5	10
1965-01-16	0	4.28	22	10
1965-01-17	0	1.72	20	13
1965-01-18	0	3.8	27.5	10
1965-01-19	0	5	26	8
1965-01-20	0	3.54	15.5	9
1965-01-21	0	1.91	17	2
1965-01-22	0	0.87	15	2.5
1965-01-23	0	3.25	23	5
1965-01-24	0	1.74	15	5
1965-01-25	0	2.26	17	0
1965-01-26	0	7.69	17	-1
1965-01-27	0	2.61	19	10
1965-01-28	0	4.8	21.5	3
1965-01-29	0	6	21	6
1965-01-30	0	4.5	25	3
1965-01-31	0	3.05	24	5
1965-02-01	0	3.1	22	9
1965-02-02	0	3.4	24	7
1965-02-03	0	3.35	23	6
1965-02-04	0	2.17	25	9
1965-02-05	0	4.43	24	5
1965-02-06	0.01	6.3	11	9
1965-02-07	20	3.6	14	6
1965-02-08	0	1.5	16	1
1965-02-09	0	1.52	11	4
1965-02-10	0	3.08	13	1.5
1965-02-11	0	7.45	12	-2
1965-02-12	0	4.62	14	2.5
1965-02-13	0	4.43	15	3
1965-02-14	0	3	16	3
1965-02-15	0	2.15	16	-1
1965-02-16	0	4.65	17	4
1965-02-17	0	1.2	21	2
1965-02-18	0	5.6	23	10
1965-02-19	0	6.8	25	13
1965-02-20	0	5.81	26	5
1965-02-21	0	6.16	27	6
1965-02-22	0	3.15	22	3
1965-02-23	0	4.35	19	3
1965-02-24	0	2.69	19	10
1965-02-25	0	4.96	26	4
1965-02-26	0	6.18	29	5
1965-02-27	0	5.05	29	9
1965-02-28	0	10.1	22	4
1965-03-01	0	2.2	23	2
1965-03-02	0	5.75	20	10
1965-03-03	0	8.4	17	5
1965-03-04	0	4.55	18.5	7
1965-03-05	0	6.19	22	0
1965-03-06	0	5.26	22	0
1965-03-07	0	5.55	19	8.5
1965-03-08	0	2.5	20	4
1965-03-09	0	1.8	19	5
1965-03-10	0	1.18	10	8
1965-03-11	5	2.82	15	7
1965-03-12	5	3.1	17	7
1965-03-13	0	3.25	18	0
1965-03-14	0	0.85	21	2
1965-03-15	0.01	1.2	13	7
1965-03-16	0	1.68	20	4
1965-03-17	0	6.42	20	3
1965-03-18	0	4.48	20	6
1965-03-19	0	5.27	25	5
1965-03-20	0	10.05	24	10
1965-03-21	0	5.8	27	6
1965-03-22	0	5.65	19	4
1965-03-23	0	5.83	18	10
1965-03-24	0	6.52	18	9
1965-03-25	0	4.9	20	7.5
1965-03-26	0	4.95	22	4
1965-03-27	0	6.2	21	7
1965-03-28	0	4.87	19	8
1965-03-29	0	6.08	25	3
1965-03-30	0	5.55	27	5
1965-03-31	0	2.55	20	3
1965-04-01	0.01	3.15	16	6
1965-04-02	5	1.8	14.5	8
1965-04-03	15	2.45	12	10
1965-04-04	0	2.25	15	5
1965-04-05	0	4.4	19	5
1965-04-06	0	3.1	16	6
1965-04-07	0.01	1.3	16	8
1965-04-08	2	2.8	16	6.5
1965-04-09	0	3.08	15	7
1965-04-10	0	4.12	15	8
1965-04-11	0.01	4.4	16	1
1965-04-12	0	1.6	20	5
1965-04-13	0	5.1	20	8
1965-04-14	0	2.4	22	3
1965-04-15	0	NULO	NULO	NULO
1965-04-16	0	NULO	NULO	NULO
1965-04-17	0	NULO	30	6
1965-04-18	0	9.08	31	7
1965-04-19	0	5.2	34	14
1965-04-20	0	6.17	37	12
1965-04-21	0	4.5	38	13
1965-04-22	0	5	33	12
1965-04-23	0	7.85	32	10
1965-04-24	0	7.65	34	10
1965-04-25	0	9.03	32	10
