COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 01/05/2026 

DATOS DISPONIBLES EN LA BASE DE DATOS A: MAY DE 2026; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 2090 
 NOMBRE    : EJIDO ERENDIRA 
 ESTADO    : BAJA CALIFORNIA 
 MUNICIPIO : ENSENADA 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 31.27527778 ° 
 LONGITUD  : -116.3686111 ° 
 ALTITUD   : 91 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1974-04-25	0	NULO	NULO	NULO
1974-04-26	0	NULO	20	12
1974-04-27	0	NULO	16	5
1974-04-28	0	NULO	18	8
1974-04-29	0	NULO	18	10
1974-04-30	0	NULO	18	9
1974-05-01	0	NULO	18	13
1974-05-02	0	NULO	18	13
1974-05-03	0	NULO	18	13
1974-05-04	0	NULO	18	13
1974-05-05	0	NULO	16	13
1974-05-06	0	NULO	16	10
1974-05-07	0	NULO	17	13
1974-05-08	0	NULO	17	13
1974-05-09	0	NULO	17	13
1974-05-10	0	NULO	17	13
1974-05-11	0	NULO	17	14
1974-05-12	0	NULO	18	13
1974-05-13	0	NULO	19	11
1974-05-14	0	NULO	16	14
1974-05-15	0	NULO	17	9
1974-05-16	0	NULO	15	13
1974-05-17	0	NULO	16	12
1974-05-18	0	NULO	15	6
1974-05-19	0	NULO	15	8
1974-05-20	0	NULO	16	10
1974-05-21	0	NULO	17	7
1974-05-22	0	NULO	17	10
1974-05-23	0	NULO	17	9
1974-05-24	0	NULO	17	11
1974-05-25	0	NULO	18	10
1974-05-26	0	NULO	18	11
1974-05-27	0	NULO	17	9
1974-05-28	0	NULO	19	13
1974-05-29	0	NULO	17	9
1974-05-30	0	NULO	19	13
1974-05-31	0	NULO	18	15
1974-06-01	0	NULO	18	10
1974-06-02	0	NULO	18	8
1974-06-03	0	NULO	18	9
1974-06-04	0	NULO	18	12
1974-06-05	0	NULO	19	14
1974-06-06	0	NULO	19	14
1974-06-07	0	NULO	18	14
1974-06-08	0	NULO	18	15
1974-06-09	0	NULO	20	15
