COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 01/05/2026 

DATOS DISPONIBLES EN LA BASE DE DATOS A: MAY DE 2026; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 2137 
 NOMBRE    : COLONIA MARIANA 
 ESTADO    : BAJA CALIFORNIA 
 MUNICIPIO : MEXICALI 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 32.25861111 ° 
 LONGITUD  : -115.3222222 ° 
 ALTITUD   : 9 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1981-06-11	0	NULO	NULO	NULO
1981-06-12	0	11.03	39	11
1981-06-13	0	11.89	40	10
1981-06-14	0	12.01	37	11
1981-06-15	0	10.94	37	16
1981-06-16	0	13.58	42	12
1981-06-17	0	13	47	10
1981-06-18	0	NULO	47	12
1981-06-19	0	10.54	45	12
1981-06-20	0	14.36	46	12
1981-06-21	0	14.23	44	14
1981-06-22	0	12.07	42	14
1981-06-23	0	12.03	49	15
1981-06-24	0	11.67	44	15
1981-06-25	0	NULO	46	15
1981-06-26	0	NULO	45	21
1981-06-27	0	11.91	43	20
1981-06-28	0	11.06	41	17
1981-06-29	0	11.3	43	16
1981-06-30	0	14.39	44	14
1981-07-01	0	11.53	42	16
1981-07-02	0	13.15	41	13
1981-07-03	0	9.02	44	13
1981-07-04	0	NULO	46	15
1981-07-05	0	10	46	18
1981-07-06	0	8.38	43	19
1981-07-07	0	10.98	41	18
1981-07-08	0	11.56	41	18
1981-07-09	0	12.42	44	16
1981-07-10	0.1	11.98	41	16
1981-07-11	0	9.85	37	17
1981-07-12	0	NULO	40	17
1981-07-13	0	NULO	41	19
1981-07-14	0	10.63	43	17
1981-07-15	0	14.78	42	18
1981-07-16	0	13.36	43	19
1981-07-17	0	11.42	42	16
1981-07-18	0	11.93	42	17
1981-07-19	0.1	9.89	42	19
1981-07-20	0	NULO	40	19
1981-07-21	0	NULO	43	18
1981-07-22	0	12.73	46	16
1981-07-23	0	12.8	45	16
1981-07-24	0	10.94	42	17
1981-07-25	0	12.52	39	18
1981-07-26	0	10.09	42	15
1981-07-27	0	11.96	44	14
1981-07-28	0	NULO	42	17
1981-07-29	0	NULO	41	17
1981-07-30	0	10.75	40	18
1981-07-31	0	10	31	16
1981-08-01	0	10.89	43	16
1981-08-02	0	12.85	44	15
1981-08-03	0	12.01	43	14
1981-08-04	0	10.32	43	10
1981-08-05	0	9.49	42	15
1981-08-06	0	NULO	44	18
1981-08-07	0	NULO	44	19
1981-08-08	0	10.2	43	19
1981-08-09	0	13.59	43	19
1981-08-10	0	13.86	42	18
1981-08-11	0	10.39	40	18
1981-08-12	7.5	10.12	42	17
1981-08-13	2	10.48	37	12
1981-08-14	0	9.76	40	17
1981-08-15	0	9.83	41	14
1981-08-16	0	NULO	43	14
1981-08-17	0	NULO	43	16
1981-08-18	0	9.06	42	15
1981-08-19	0	9.6	43	17
1981-08-20	0	11.36	45	16
1981-08-21	0	13.78	45	17
1981-08-22	0	10.14	43	18
1981-08-23	0	10.59	43	17
1981-08-24	0	12.63	45	17
1981-08-25	0	NULO	44	18
1981-08-26	0	NULO	47	17
1981-08-27	0	11.32	48	18
1981-08-28	0	14.14	47	19
1981-08-29	0	11.72	47	18
1981-08-30	0	11.15	41	19
1981-08-31	0	9.67	40	19
1981-09-01	0	10.97	41	18
1981-09-02	0	NULO	42	18
1981-09-03	0	NULO	40	16
1981-09-04	0	11.17	41	17
1981-09-05	0	10.64	41	16
1981-09-06	0.3	7.95	37	18
1981-09-07	0	8.31	38	15
1981-09-08	0	9.47	40	15
1981-09-09	0	12.09	42	14
1981-09-10	0	9.86	42	12
1981-09-11	0	9.04	42	11
1981-09-12	0	NULO	42	12
1981-09-13	0	NULO	43	11
1981-09-14	0	10.04	43	9
