COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 01/05/2026 

DATOS DISPONIBLES EN LA BASE DE DATOS A: MAY DE 2026; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 2150 
 NOMBRE    : PUNTA FINAL 
 ESTADO    : BAJA CALIFORNIA 
 MUNICIPIO : ENSENADA 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 29.7375 ° 
 LONGITUD  : -114.31 ° 
 ALTITUD   : 3 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1982-02-04	0	NULO	NULO	NULO
1982-02-05	0	NULO	17	7
1982-02-06	0	NULO	15	9
1982-02-07	0	NULO	17	1
1982-02-08	0	NULO	20	8
1982-02-09	0	NULO	21	10
1982-02-10	0	NULO	24	12
1982-02-11	0	NULO	17	12
1982-02-12	0	NULO	21	8
1982-02-13	0	NULO	18	6
1982-02-14	0	NULO	17	9
1982-02-15	0	NULO	22	9
1982-02-16	0	NULO	21	7
1982-02-17	0	NULO	25	6
1982-02-18	0	NULO	22	11
1982-02-19	0	NULO	21	13
1982-02-20	0	NULO	19	11
1982-02-21	0	NULO	24	10
1982-02-22	0	NULO	22	8
1982-02-23	0	NULO	20	11
1982-02-24	0	NULO	17	10
1982-02-25	0	NULO	12	10
1982-02-26	0	NULO	15	6
1982-02-27	0	NULO	15	8
1982-02-28	0	NULO	23	5
1982-03-01	0	NULO	28	5
1982-03-02	0	NULO	20	8
1982-03-03	0	NULO	19	8
1982-03-04	0	NULO	18	5
1982-03-05	0	NULO	19	5
1982-03-06	0	NULO	19	10
1982-03-07	0	NULO	18.5	2
1982-03-08	0	NULO	24	5
1982-03-09	0	NULO	23	8
1982-03-10	0	NULO	28.5	9
1982-03-11	0	NULO	27	15
1982-03-12	0	NULO	25	17
1982-03-13	0	NULO	20	12
1982-03-14	0	NULO	25	8
1982-03-15	0	NULO	26	12
1982-03-16	0	NULO	27	10
1982-03-17	0	NULO	20.1	8
1982-03-18	0	NULO	22	12
1982-03-19	0	NULO	18	9
1982-03-20	0	NULO	19.5	2
1982-03-21	0	NULO	19	2
1982-03-22	0	NULO	24	3
1982-03-23	0	NULO	23	5
1982-03-24	0	NULO	23	5
1982-03-25	0	NULO	29	6
1982-03-26	0	NULO	24	10
1982-03-27	0	NULO	22	11
1982-03-28	0	NULO	28	9
1982-03-29	0	NULO	20.1	12
1982-03-30	0	NULO	19	13.5
1982-04-03	0	NULO	23	5
1982-04-04	0	NULO	23	5
1982-04-05	0	NULO	26	5
1982-04-06	0	NULO	26	16
1982-04-07	0	NULO	20	16
1982-04-08	0	NULO	20	5
1982-04-09	0	NULO	24	5
1982-04-10	0	NULO	27	6
1982-04-11	0	NULO	32	12
1982-04-12	0	NULO	35	18
1982-04-13	0	NULO	26	20
1982-04-14	0	NULO	28	17
1982-04-15	0	NULO	NULO	NULO
1982-04-19	0	NULO	29	10
1982-04-20	0	NULO	33	11
1982-04-21	0	NULO	23	10
1982-04-22	0	NULO	27	6
1982-04-23	0	NULO	28	9
1982-04-24	0	NULO	29	10
1982-04-25	0	NULO	27	6
1982-04-26	0	NULO	31	19
1982-04-27	0	NULO	27	22
1982-04-28	0	NULO	32	22
1982-04-29	0	NULO	26	18
1982-04-30	0	NULO	27	15
1982-05-01	0	NULO	35	8
1982-05-02	0	NULO	31	15
1982-05-03	0	NULO	29	15
1982-05-04	0	NULO	25	12
1982-05-05	0	NULO	26	14
1982-05-06	0	NULO	27	10
1982-05-07	0	NULO	28	15
1982-05-08	0	NULO	26	14
1982-05-09	0	NULO	22	15
1982-05-10	0	NULO	28	14
1982-05-11	0	NULO	27.5	11
1982-05-12	0	NULO	28	12
1982-05-13	0	NULO	31.5	15
1982-05-14	0	NULO	34.5	16
1982-05-15	0	NULO	32	16
1982-05-16	0	NULO	NULO	NULO
1982-05-18	0	NULO	NULO	NULO
1982-05-19	0	NULO	32	12
1982-05-20	0	NULO	29.5	13
1982-05-21	0	NULO	32	14
1982-05-22	0	NULO	29	18
1982-05-23	0	NULO	29.5	15
1982-05-24	0	NULO	29.5	19
1982-05-25	0	NULO	25	18.5
1982-05-26	0	NULO	24	18
1982-05-27	0	NULO	24	11
1982-05-28	0	NULO	26.5	13
1982-05-29	0	NULO	26	16
1982-05-30	0	NULO	31	15
1982-05-31	0	NULO	30	10
1982-06-01	0	NULO	35.5	15
1982-06-02	0	NULO	35	21
1982-06-03	0	NULO	31.5	20
1982-06-04	0	NULO	33.4	21
1982-06-05	0	NULO	34	21
1982-06-06	0	NULO	34	16
1982-06-07	0	NULO	NULO	NULO
1982-06-14	0	NULO	32	22
1982-06-15	0	NULO	30	21
1982-06-16	0	NULO	33	21
1982-06-17	0	NULO	27	21
1982-06-18	0	NULO	27.1	21
1982-06-19	0	NULO	27.1	21
1982-06-20	0	NULO	NULO	NULO
1982-06-24	0	NULO	35.5	20
1982-06-25	0	NULO	33	27
1982-06-26	0	NULO	34	26
1982-06-27	0	NULO	32	23
1982-06-28	0	NULO	36.5	19
1982-06-29	0	NULO	31	21
1982-06-30	0	NULO	NULO	NULO
1982-09-01	0	NULO	27	16.5
1982-09-02	0	NULO	28.5	15
1982-09-03	0	NULO	26	13.5
1982-09-04	0	NULO	19	14
1982-09-05	0	NULO	30	16
1982-09-06	0	NULO	27.5	15
1982-09-07	0	NULO	25	13
1982-09-08	0	NULO	30	12
1982-09-09	0	NULO	32	14
1982-09-10	0	NULO	31.5	18
1982-09-11	0	NULO	28	20
1982-09-12	0	NULO	27.5	14
1982-09-13	0	NULO	33	13
1982-09-14	0	NULO	31	15.5
1982-09-15	0	NULO	30	16.5
1982-09-16	0	NULO	32.5	18
1982-09-17	0	NULO	27	20.5
1982-09-18	0	NULO	29	18
1982-09-19	0	NULO	32	14
1982-09-20	0	NULO	25	16.5
1982-09-21	0	NULO	27	19.5
1982-09-22	0	NULO	29	18
1982-09-23	0	NULO	32.5	19
1982-09-24	0	NULO	32	13
1982-09-25	0	NULO	30	14.5
1982-09-26	0	NULO	27.5	20.5
1982-09-27	0	NULO	26	18.5
1982-09-28	0	NULO	28.5	14
1982-09-29	0	NULO	27.5	13
1982-09-30	0	NULO	30	11.5
1982-10-01	0	NULO	27	13
1982-10-02	0	NULO	29	17
1982-10-03	0	NULO	26	18
1982-10-04	0	NULO	26	15
1982-10-05	0	NULO	28	15.5
1982-10-06	0	NULO	30	18.5
1982-10-07	0	NULO	29	16.5
1982-10-08	0	NULO	22	14
1982-10-09	0	NULO	25	13
1982-10-10	0	NULO	27	9
1982-10-11	0	NULO	27.5	10.5
1982-10-12	0	NULO	29.5	12
1982-10-13	0	NULO	24.5	13.5
1982-10-14	0	NULO	27.5	14
1982-10-15	0	NULO	32	13
1982-10-16	0	NULO	31.5	14.5
1982-10-17	0	NULO	31.5	12.5
1982-10-18	0	NULO	30.5	19
1982-10-19	0	NULO	25	19
1982-10-20	0	NULO	26	12
1982-10-21	0	NULO	26	13
1982-10-22	0	NULO	32	11
1982-10-23	0	NULO	36	9
1982-10-24	0	NULO	26	15
1982-10-25	0	NULO	25	14
1982-10-26	0	NULO	24	13
1982-10-27	0	NULO	22	11
1982-10-28	0	NULO	27	12
1982-10-29	0	NULO	28.5	9
1982-10-30	0	NULO	25	6
1982-10-31	0	NULO	26	11
1982-11-01	NULO	NULO	NULO	NULO
1982-11-03	0	NULO	NULO	NULO
1982-11-04	0	NULO	24	9.5
1982-11-05	0	NULO	22	6
1982-11-06	0	NULO	20	8
1982-11-07	0	NULO	22	10
1982-11-08	0	NULO	20	14
1982-11-09	0	NULO	23	14
1982-11-10	0	NULO	25	10
1982-11-11	0	NULO	20	9
1982-11-12	0	NULO	20	8
1982-11-13	0	NULO	21.5	8
1982-11-14	0	NULO	22	8
1982-11-15	0	NULO	20	6
1982-11-16	0	NULO	19	4
1982-11-17	0	NULO	20	12
1982-11-18	0	NULO	22	14
1982-11-19	0	NULO	22	11.5
1982-11-20	0	NULO	19.5	10
1982-11-21	0	NULO	20	11
1982-11-22	0	NULO	21.5	9
1982-11-23	0	NULO	20	9
1982-11-24	0	NULO	20	8
1982-11-25	NULO	NULO	NULO	NULO
1983-01-02	0	NULO	16	5
1983-01-03	0	NULO	21	3
1983-01-04	0	NULO	16	5
1983-01-05	0	NULO	22	4
1983-01-06	0	NULO	18	10
1983-01-07	0	NULO	22	7
1983-01-08	0	NULO	23	8
1983-01-09	0	NULO	20	6
1983-01-10	0	NULO	19.1	3
1983-01-11	0	NULO	19.5	5
1983-01-12	0	NULO	18.5	11
1983-01-13	0	NULO	16.1	3
1983-01-14	0	NULO	20	8
1983-01-15	0	NULO	24	8
1983-01-16	0	NULO	24	8
1983-01-17	0	NULO	20	12
1983-01-18	0	NULO	19.1	3
1983-01-19	0	NULO	15.1	3
1983-01-20	0	NULO	22	10
