COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 01/05/2026 

DATOS DISPONIBLES EN LA BASE DE DATOS A: MAY DE 2026; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 2160 
 NOMBRE    : EJIDO JAMAU 
 ESTADO    : BAJA CALIFORNIA 
 MUNICIPIO : ENSENADA 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 31.50277778 ° 
 LONGITUD  : -115.725 ° 
 ALTITUD   : 980 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1988-11-06	0	NULO	NULO	NULO
1988-11-07	0	NULO	29	5
1988-11-08	0	NULO	21	14
1988-11-09	0	NULO	21	8
1988-11-10	0	NULO	24	5
1988-11-11	1	NULO	18	10
1988-11-12	0	NULO	26	5
1988-11-13	2	NULO	25	5
1988-11-14	2.7	NULO	14	9
1988-11-15	0	NULO	18	2
1988-11-16	0	NULO	23	4
1988-11-17	0	NULO	16	1
1988-11-18	0	NULO	12	2
1988-11-19	0	NULO	11	0
1988-11-20	0	NULO	22	2
1988-11-21	0	NULO	28	2
1988-11-22	0	NULO	26	7
1988-11-23	0.4	NULO	22	3
1988-11-24	1.2	NULO	14	9
1988-11-25	6	NULO	13	4
1988-11-26	0	NULO	16	6
1988-11-27	0	NULO	22	4
1988-11-28	0	NULO	21	4
1988-11-29	0	NULO	24	4
1988-11-30	0	NULO	27	6
1988-12-01	0	NULO	25	15
1988-12-02	0	NULO	27	9
1988-12-03	0	NULO	26	5
1988-12-04	0	NULO	27	9
1988-12-05	0	NULO	28	11
1988-12-06	0	NULO	28	4
1988-12-07	0	NULO	28	5
1988-12-08	0	NULO	19	5
1988-12-09	0	NULO	19	15
1988-12-10	0	NULO	23	3
1988-12-11	0	NULO	24	5
1988-12-12	0	NULO	27	6
1988-12-13	0	NULO	27	3
1988-12-14	0	NULO	19	2
1988-12-15	6	NULO	14	2
1988-12-16	4.7	NULO	13	11
1988-12-17	0	NULO	16	9
1988-12-18	4	NULO	12	2
1988-12-19	0	NULO	13	7
1988-12-20	0.5	NULO	17	5
1988-12-21	2.5	NULO	15	5
1988-12-22	0.3	NULO	14	2
1988-12-23	0	NULO	16	3
1988-12-24	1.5	NULO	16	0
1988-12-25	6.9	NULO	11	0
1988-12-26	0	NULO	11	2
1988-12-27	1	NULO	12	-1
1988-12-28	0	NULO	12	0
1988-12-29	0	NULO	12	-1
1988-12-30	0	NULO	15	-1
1988-12-31	0	NULO	13	-3
1989-01-01	0	NULO	17	0
1989-01-02	0	NULO	20	5
1989-01-03	3.5	NULO	20	5
1989-01-04	4	NULO	13	8
1989-01-05	3.5	NULO	15	2
1989-01-06	0.4	NULO	10	3
1989-01-07	0	NULO	11	-2
1989-01-08	0	NULO	13	-2
1989-01-09	0	NULO	21	2
1989-01-10	0.1	NULO	21	3
1989-01-11	0	NULO	17	5
1989-01-12	0	NULO	14	4
1989-01-13	0	NULO	18	-2
1989-01-14	0	NULO	17	-4
1989-01-15	0	NULO	21	3
1989-01-16	0	NULO	23	7
1989-01-17	0	NULO	26	6
1989-01-18	0	NULO	27	6
1989-01-19	0	NULO	26	7
1989-01-20	0.4	NULO	26	6
1989-01-21	0	NULO	25	11
1989-01-22	0	NULO	22	9
1989-01-23	5	NULO	15	3
1989-01-24	3	NULO	13	7
1989-01-25	0	NULO	17	4
1989-01-26	0	NULO	16	0
1989-01-27	0	NULO	16	3
1989-01-28	0	NULO	16	-2
1989-01-29	0	NULO	21	-2
1989-01-30	0	NULO	24	3
1989-01-31	0	NULO	22	4
1990-12-01	0	5.3	27	1
1990-12-02	0	7	28	4
1990-12-03	0	8.2	26	9
1990-12-04	0	7.4	26	11
1990-12-05	0	2.8	24	11
1990-12-06	0	9	28	5
1990-12-07	0	6.2	28	10
1990-12-08	0	6.1	29	11
1990-12-09	0	3.5	28	3
1990-12-10	0.1	3.7	28	2
1990-12-11	0	2.3	23	3
1990-12-12	0	1.5	19	5
1990-12-13	0	2.3	16	6
