FECHA;PRECIP;TMAX;TMIN
2001-03-10;0;25;13
2001-03-11;0;23;11
2001-03-12;0;23;10
2001-03-13;0;24,5;11
2001-03-14;0;20;10
2001-03-15;0;21;10
2001-03-16;0;22;11
2001-03-17;0;23;13
2001-03-18;0;21;15
2001-03-19;0;23;13
2001-03-20;0;26;15
2001-03-21;0;24;17
2001-03-22;0;25;13
2001-03-23;0;27;10
2001-03-24;0;24;12
2001-03-25;0;23;16
2001-03-26;0;27;17
2001-03-27;0;25;17
2001-03-28;0;24;15
2001-03-29;0;28;16
2001-03-30;0;25;15
2001-03-31;0;23;11
2001-04-01;0;28;12
2001-04-02;0;22;12
2001-04-03;0;23;13
2001-04-04;0;21;11
2001-04-05;0;23;9
2001-04-06;0;21;8
2001-04-07;0;22;9
2001-04-08;0;24;10
2001-04-09;0;21;11
2001-04-10;0;20;9
2001-04-11;0;23;11
2001-04-12;0;22;10
2001-04-13;0;25;11
2001-04-14;0;21;13
2001-04-15;0;20;10
2001-04-16;0;21;7
2001-04-17;0;20;9
2001-04-18;1;23;11
2001-04-19;0,01;21;13
2001-04-20;0;20;12
2001-04-21;0;25;12
2001-04-22;0;22;13
2001-04-23;0;23;11
2001-04-24;0,01;24;13
2001-04-25;0;26;15
2001-04-26;0;28;10
2001-04-27;0;27;11
2001-04-28;0;27;10
2001-04-29;0;26;10
2001-04-30;0;27;11
2001-05-01;0;16;8
2001-05-02;0;18;11
2001-05-03;0;16;12
2001-05-04;0;27;8
2001-05-05;0;28;14
2001-05-06;0;31;11
2001-05-07;0;29;10,5
2001-05-08;0;29;11
2001-05-09;0,01;28;10,5
2001-05-10;0,1;32;10
2001-05-11;0;27;14
2001-05-12;2,5;26;11
2001-05-13;0,01;23;11
2001-05-14;0;25;10
2001-05-15;0;27;11
2001-05-16;0;29;12
2001-05-17;0;31;15
2001-05-18;0,01;31;14
2001-05-19;0,01;38;16
2001-05-20;0,01;33;12
2001-05-21;0,01;33;14
2001-05-22;0,01;31;13
2001-05-23;0,01;28;14
2001-05-24;0;28;13
2001-05-25;0;30;16
2001-05-26;0;31;14
2001-05-27;0;32;11
2001-05-28;0;33;11
2001-05-29;0;32;8
2001-05-30;0,01;33;10
2001-05-31;0,01;29;15
2001-06-01;0;29;12
2001-06-02;0;29;16
2001-06-03;4,1;31;16
2001-06-04;0,01;34;14
2001-06-05;0,01;31;17
2001-06-06;0,01;31;15
2001-06-07;0;31;16
2001-06-08;0,01;32;14
2001-06-09;0;28;18
2001-06-10;0;29;13
2001-06-11;0,01;29;16
2001-06-12;0;34;13
2001-06-13;0,01;29;13
2001-06-14;5;35;18
2001-06-15;2;28;15
2001-06-16;13,5;29;15
2001-06-17;0;28;16
2001-06-18;0;30;19
2001-06-19;0;28;12
2001-06-20;7;28;14
2001-06-21;14,2;29;14
2001-06-22;0,01;27;13
2001-06-23;0;29;18
2001-06-24;0;27;13
2001-06-25;4,5;28;13
2001-06-26;1;30;14
2001-06-27;0;28;13
2001-06-28;0,01;30;13
2001-06-29;1;30;15
2001-06-30;8;29;11
2001-07-01;0;30;14
2001-07-02;0,01;26;14
2001-07-03;45;28;14
2001-07-04;26;24;15
2001-07-05;21;27;14
2001-07-06;0;28;15
2001-07-07;0;28;12
2001-07-08;0;27;12
2001-07-09;0;29;12
2001-07-10;0;29;12
2001-07-11;0;29;12
2001-07-12;0,01;29;13
2001-07-13;0;30;12
2001-07-14;0;28;14
2001-07-15;0;28;11
2001-07-16;0;28;12
2001-07-17;0;32;13
2001-07-18;0;29;14
2001-07-19;0;29;12
2001-07-20;0;30;13
2001-07-21;0;27;12
2001-07-22;0;31;14
2001-07-23;0;29;13
2001-07-24;0,01;30;14
2001-07-25;0,01;28;15
2001-07-26;10;26;12
2001-07-27;15;26;13
2001-07-28;0;27;13
2001-07-29;0;27;12
2001-07-30;13;28;14
2001-07-31;11;26;15
2001-08-01;0;29;16
2001-08-02;12,3;27;13
2001-08-03;0;25;14
2001-08-04;0,01;27;13
2001-08-05;10;29;14
2001-08-06;0,01;26;16
2001-08-07;0;27;14
2001-08-08;0;24;16
2001-08-09;0;26;16
2001-08-10;0;26;14
2001-08-11;0;27;13
2001-08-12;0;24;12
2001-08-13;0;26;11
2001-08-14;0;28;16
2001-08-15;0;29;15
2001-08-16;0;29;11
2001-08-17;0,01;28;15
2001-08-18;0,01;31;14
2001-08-19;0;31;13
2001-08-20;0;30;14
2001-08-21;13,2;32;12
2001-08-22;0;29;15
2001-08-23;0;29;13
2001-08-24;0,01;28;13
2001-08-25;0;29;16
2001-08-26;15;29;13
2001-08-27;42;27;16
2001-08-28;60;32;15
2001-08-29;0,01;33;16
2001-08-30;21;29;15
2001-08-31;0;27;16
2001-09-01;13;25;13
2001-09-02;19;28;12
2001-09-03;3;24;14
2001-09-04;0;25;13
2001-09-05;0;27;16
2001-09-06;0,01;28;11
2001-09-07;14;26;12
2001-09-08;3,2;27;13
2001-09-09;7;29;12
2001-09-10;4;26;13
2001-09-11;0,01;24;14
2001-09-12;19,8;22;16
2001-09-13;13,3;26;13
2001-09-14;0;26;14
2001-09-15;0;28;11
2001-09-16;0;28;12
2001-09-17;0;28;14
2001-09-18;0;29;16
2001-09-19;0;29;13
2001-09-20;0;29;12
2001-09-21;0;28;12
2001-09-22;0;26;12
2001-09-23;0;25;11
2001-09-24;0;26;12
2001-09-25;7,1;27;11
2001-09-26;34;28;12
2001-09-27;0,01;30;12
2001-09-28;0;24;12
2001-09-29;0;31;12
2001-09-30;0;33;12
2001-10-01;0;32;13
2001-10-02;0;29;13
2001-10-03;17,5;27;11
2001-10-04;0;31;16
2001-10-05;0;27;12
2001-10-06;0;28;14
2001-10-07;0;31;11
2001-10-08;0;31;9
2001-10-09;0;31;12
2001-10-10;0;31;11
2001-10-11;0;30;11
2001-10-12;0,01;32;14
2001-10-13;0;30;12
2001-10-14;0;30;8
2001-10-15;0;32;12
2001-10-16;0;29;14
2001-10-17;0;31;11
2001-10-18;0;28;12
2001-10-19;0;27;13
2001-10-20;0;27;10
2001-10-21;0;27;10
2001-10-22;0;30;11
2001-10-23;0;27;12
2001-10-24;0;26;9
2001-10-25;0;26;9
2001-10-26;0;27;9
2001-10-27;0;25;8
2001-10-28;0;22;9
2001-10-29;0;24;8
2001-10-30;0;22;7
2001-10-31;0;23;8
2001-11-01;0;26;3
2001-11-02;0;25;3
2001-11-03;0;26;4
2001-11-04;0;19;7
2001-11-05;0;20;6
2001-11-06;0;23;3
2001-11-07;0;24;4
2001-11-08;0;24;6
2001-11-09;0;22;7
2001-11-10;0;22;4
2001-11-11;0;23;6
2001-11-12;0;23;6
2001-11-13;0;24;4
2001-11-14;0;23;5
2001-11-15;0;24;4
2001-11-16;0;20;4
2001-11-17;0;22;10
2001-11-18;0;21;8
2001-11-19;0;24;5
2001-11-20;0;22;6
2001-11-21;0;23;4
2001-11-22;0;22;4
2001-11-23;0;21;4
2001-11-24;0;24;3
2001-11-25;0;26;3
2001-11-26;0;26;1
2001-11-27;0;25;1
2001-11-28;0;24;6
2001-11-29;0;26;5
2001-11-30;0;24;6
2002-01-01;0;26;5
2002-01-02;0;23;0
2002-01-03;0;22;1
2002-01-04;0;21;0
2002-01-05;0;22;-2
2002-01-06;0;24;0
2002-01-07;0;23;-1
2002-01-08;0;24;2
2002-01-09;0;23;-2
2002-01-10;0;24;1
2002-01-11;0;23;-1
2002-01-12;23;22;-1
2002-01-13;0;22;1
2002-01-14;0;21;0
2002-01-15;0;19;1
2002-01-16;0;23;0
2002-01-17;0;26;1
2002-01-18;0;25;2
2002-01-19;0;26;3
2002-01-20;0;23;2
2002-01-21;0;25;2
2002-01-22;0;26;1
2002-01-23;0;24;2
2002-01-24;0;23;3
2002-01-25;0;22;2
2002-01-26;0;23;2
2002-01-27;0;25;4
2002-01-28;0;26;3
2002-01-29;0;27;3
2002-01-30;0;25;2
2002-01-31;0;26;2
2002-02-01;0;25;5
2002-02-02;0;24;6
2002-02-03;0;26;5
2002-02-04;0;22;6
2002-02-05;0;23;4
2002-02-06;0;26;3
2002-02-07;0;25;6
2002-02-08;0;25;4
2002-02-09;0;23;5
2002-02-10;0;20;6
2002-02-11;0;21;3
2002-02-12;0;23;2
2002-02-13;0;25;5
2002-02-14;0;26;6
2002-02-15;0;27;7
2002-02-16;0;28;6
2002-02-17;0;27;7
2002-02-18;0;26;6
2002-02-19;0;27;4
2002-02-20;0;25;5
2002-02-21;0;26;3
2002-02-22;0;26;4
2002-02-23;0;23;6
2002-02-24;0;22;6
2002-02-25;0;20;8
2002-02-26;0;19;7
2002-02-27;0;21;6
2002-02-28;0;20;9
2002-03-01;0;25;5
2002-03-02;0;24;5
2002-03-03;0;26;6
2002-03-04;0;22;6
2002-03-05;0;23;3
2002-03-06;0;26;4
2002-03-07;0;24;5
2002-03-08;0;25;6
2002-03-09;0;23;5
2002-03-10;0;26;4
2002-03-11;0;27;6
2002-03-12;0;27;5
2002-03-13;0;28;6
2002-03-14;0;28;8
2002-03-15;0;27;8
2002-03-16;0;26;5
2002-03-17;0;25;6
2002-03-18;0;27;7
2002-03-19;0;26;8
2002-03-20;0;27;7
2002-03-21;0;28;6
2002-03-22;0;26;7
2002-03-23;0;24;7
2002-03-24;0;22;6
2002-03-25;0;23;6
2002-03-26;0;25;7
2002-03-27;0;26;6
2002-03-28;0;27;7
2002-03-29;0;27;9
2002-03-30;0;28;9
2002-03-31;0;27;10
2002-08-01;8,6;26;13
2002-08-02;2;23;14
2002-08-03;1,8;22;13
2002-08-04;0;23;13
2002-08-05;0;26;11
2002-08-06;0;28;14
2002-08-07;0;27;11
2002-08-08;0;28;13
2002-08-09;12,5;29;12
2002-08-10;3;28;15
2002-08-11;60;27;15
2002-08-12;41;28;14
2002-08-13;3;24;14
2002-08-14;4,2;25;13
2002-08-15;2;28;14
2002-08-16;2,5;21;10
2002-08-17;0;27;12
2002-08-18;3,6;27;11
2002-08-19;0;27;13
2002-08-20;0;27;12
2002-08-21;0;26;13
2002-08-22;0;28;12
2002-08-23;0;21;12
2002-08-24;0;26;15
2002-08-25;0;28;10
2002-08-26;0;27;12
2002-08-27;0;26;11
2002-08-28;0;27;12
2002-08-29;0;28;11
2002-08-30;0;27;13
2002-08-31;0;27;12
2002-09-01;0;25;12
2002-09-02;8,5;26;14
2002-09-03;0;22;13
2002-09-04;1,5;22;13
2002-09-05;2;25;14
2002-09-06;1,5;27;14
2002-09-07;0;25;13
2002-09-08;5;28;14
2002-09-09;0;29;13
2002-09-10;0;28;13
2002-09-11;4;26;14
2002-09-12;1,5;27;15
2002-09-13;1,5;28;15
2002-09-14;21,5;28;15
2002-09-15;6;27;14
2002-09-16;0;26;14
2002-09-17;23;27;15
2002-09-18;2;28;15
2002-09-19;3;26;14
2002-09-20;8;27;13
2002-09-21;0;25;14
2002-09-22;0;28;12
2002-09-23;0;23;9
2002-09-24;0;25;9
2002-09-25;0;26;12
2002-09-26;0;21;13
2002-09-27;0;27;14
2002-09-28;0;26;13
2002-09-29;5,5;26;13
2002-09-30;0;26;12
2002-10-01;0;26;9
2002-10-02;0;27;12
2002-10-03;0;28;11
2002-10-04;0;29;9
2002-10-05;0;27;10
2002-10-06;0;27;11
2002-10-07;0;28;9
2002-10-08;0;27;7
2002-10-09;0;27;10
2002-10-10;9,5;28;11
2002-10-11;0;26;13
2002-10-12;0;26;11
2002-10-13;0;27;10
2002-10-14;0;27;9
2002-10-15;0;27;11
2002-10-16;0;22;9
2002-10-17;0;27;8
2002-10-18;0;27;5
2002-10-19;0;26;6
2002-10-20;0;28;9
2002-10-21;1;28;7
2002-10-22;0;28;8
2002-10-23;0;27;10
2002-10-24;2;25;10
2002-10-25;13,5;17;12
2002-10-26;0;24;12
2002-10-27;1;26;13
2002-10-28;1;26;10
2002-10-29;0;26;9
2002-10-30;0;28;8
2002-10-31;0;28;10
2002-11-01;0;27;13
2002-11-02;0;28;10
2002-11-03;29;27;11
2002-11-04;45;19;14
2002-11-05;0;25;13
2002-11-06;0;20;10
2002-11-07;0;25;7
2002-11-08;0;25;8
2002-11-09;0;27;7
2002-11-10;0;28;7
2002-11-11;0;28;8
2002-11-12;0;27;8
2002-11-13;0;28;6
2002-11-14;0;27;6
2002-11-15;0;23;7
2002-11-16;0;24;2
2002-11-17;0;22;3
2002-11-18;0;25;-3
2002-11-19;0;25;-2
2002-11-20;0;24;2
2002-11-21;0;20;2
2002-11-22;0;24;-2
2002-11-23;0;20;0
2002-11-24;0;23;1
2002-11-25;0;22;-2
2002-11-26;0;23;4
2002-11-27;0;19;6
2002-11-28;0;21;9
2002-11-29;0;22;11
2002-11-30;0;22;10
2002-12-01;0;24;8
2002-12-02;0;27;6
2002-12-03;0;26;5
2002-12-04;0;25;3
2002-12-05;0;25;3
2002-12-06;0;22;6
2002-12-07;0;19;3
2002-12-08;0;23;3
2002-12-09;0;23;0
2002-12-10;0;24;-1
2002-12-11;0;23;1
2002-12-12;0;21;2
2002-12-13;0;20;1
2002-12-14;0;21;2
2002-12-15;0;24;3
2002-12-16;0;23;-2
2002-12-17;0;23;-2
2002-12-18;0;25;-2
2002-12-19;0;24;0
2002-12-20;0;21;-2
2002-12-21;0;21;-3
2002-12-22;0;25;-1
2002-12-23;0;22;-2
2002-12-24;0;22;-2
2002-12-25;0;22;0
2002-12-26;0;20;0
2002-12-27;0;17;3
2002-12-28;0;22;3
2002-12-29;0;22;1
2002-12-30;0;22;3
2002-12-31;0;22;-2
2003-01-01;0;25;-3
2003-01-02;0;25;-4
2003-01-03;0;25;-3
2003-01-04;0;24;-4
2003-01-05;0;24;2
2003-01-06;0;23;-2
2003-01-07;0;16;3
2003-01-08;0;23;5
2003-01-09;0;24;5
2003-01-10;0;23;9
2003-01-11;0;20;9
2003-01-12;2;18;3
2003-01-13;0;22;0
2003-01-14;0;22;0
2003-01-15;0;22;-2
2003-01-16;0;24;1
2003-01-17;0;15;-1
2003-01-18;0;21;-2
2003-01-19;0;24;3
2003-01-20;0;25;-2
2003-01-21;0;25;0
