ID_ESTAC;FECHA_MIN;FECHA_MAX;TOTAL_DIAS;NA_PRECIP;NA_TMAX;NA_TMIN;PCT_NA_PRCP;PCT_NA_TMAX;PCT_NA_TMIN
dia01001;1878-01-01;2026-05-01;28474;1443;5898;5898;5,0678;20,7136;20,7136
dia01003;1932-01-01;1988-12-31;18487;3;56;56;0,0162;0,3029;0,3029
dia01004;1970-03-06;2026-03-31;20387;9;23;23;0,0441;0,1128;0,1128
dia01005;1957-04-03;2026-05-01;25215;13;31;31;0,0516;0,1229;0,1229
dia01006;1941-12-01;1988-12-31;16997;1;452;452;0,0059;2,6593;2,6593
dia01007;1941-01-01;1988-12-30;16916;39;877;877;0,2306;5,1844;5,1844
dia01008;1959-07-15;2026-05-01;24397;35;1167;1167;0,1435;4,7834;4,7834
dia01009;1944-01-01;1988-12-31;14981;0;14312;14312;0;95,5343;95,5343
dia01010;1961-08-01;2025-12-31;23403;0;442;442;0;1,8886;1,8886
dia01011;1949-03-19;2026-02-28;28017;2;8;8;0,0071;0,0286;0,0286
dia01012;1970-07-13;2026-05-01;20336;75;29;29;0,3688;0,1426;0,1426
dia01013;1963-09-01;2025-11-30;22379;16;27;27;0,0715;0,1206;0,1206
dia01014;1937-09-01;2025-10-31;29146;121;358;358;0,4152;1,2283;1,2283
dia01015;1967-05-24;2026-03-31;21421;3;1176;1176;0,014;5,4899;5,4899
dia01016;1945-04-01;2024-02-29;9411;4;7;7;0,0425;0,0744;0,0744
dia01017;1942-04-01;2026-05-01;30445;17;2037;2037;0,0558;6,6908;6,6908
dia01018;1933-11-01;2026-05-01;33776;36;556;556;0,1066;1,6461;1,6461
dia01019;1942-07-11;2026-05-01;30596;16;57;57;0,0523;0,1863;0,1863
dia01020;1963-08-01;2026-05-01;22819;39;103;103;0,1709;0,4514;0,4514
dia01021;1959-08-01;2025-12-31;23870;38;1623;1623;0,1592;6,7993;6,7993
dia01022;1949-05-01;2026-03-31;28078;9;394;394;0,0321;1,4032;1,4032
dia01023;1959-01-01;2025-12-31;22310;12;310;310;0,0538;1,3895;1,3895
dia01024;1967-07-12;2026-01-31;21216;46;1156;1156;0,2168;5,4487;5,4487
dia01025;1926-06-26;1983-12-31;17134;3;1018;1018;0,0175;5,9414;5,9414
dia01026;1962-07-04;2026-03-31;23123;4;9;9;0,0173;0,0389;0,0389
dia01027;1949-06-01;2026-03-31;27874;27;86;86;0,0969;0,3085;0,3085
dia01028;1949-04-08;2026-03-31;27850;5;594;594;0,018;2,1329;2,1329
dia01029;1959-07-14;2020-11-30;20962;108;2232;2232;0,5152;10,6478;10,6478
